date,time,ozone_santaClarita,no_santaClarita,no2_santaClarita,RH_santaClarita,TEMP_santaClarita,WINDIR_santaClarita,WINDSPEED_santaClarita
2020/01/13,04:00:00,0.0094,0.8,8.9,86.7,33.79,126.0,2.0
2020/01/13,05:00:00,0.0042,3.3,16.1,86.2,34.08,123.0,1.0
2020/01/13,06:00:00,0.0011,19.5,18.5,88.6,32.6,0.0,1.0
2020/01/13,07:00:00,0.0019,44.2,20.299999999999997,86.1,33.74,140.0,1.0
2020/01/13,08:00:00,0.006,36.0,19.8,68.0,41.8,0.0,0.0
2020/01/13,09:00:00,0.0141,16.1,15.6,60.3,46.21,320.0,2.0
2020/01/13,10:00:00,0.0283,6.8,11.4,47.5,53.29,0.0,0.0
2020/01/13,11:00:00,0.0365,4.2,11.0,50.5,56.17,0.0,1.0
2020/01/13,12:00:00,0.0386,3.4,10.4,45.9,58.62,334.0,2.0
2020/01/13,13:00:00,0.0402,3.1,10.7,44.0,60.03,298.0,1.0
2020/01/13,14:00:00,0.0417,2.3,10.7,42.0,61.53,360.0,2.0
2020/01/13,15:00:00,0.0406,2.2,9.6,38.8,61.87,12.0,2.0
2020/01/13,16:00:00,0.0378,1.5,11.700000000000001,41.8,59.78,309.0,2.0
2020/01/13,17:00:00,0.0222,0.6,19.099999999999998,60.9,54.58,154.0,1.0
2020/01/13,18:00:00,0.0177,1.5,22.4,71.8,50.87,0.0,1.0
2020/01/13,19:00:00,0.0117,0.8,20.9,70.9,46.21,115.0,2.0
2020/01/13,20:00:00,0.0098,1.0,20.7,82.1,44.45,123.0,2.0
2020/01/13,21:00:00,0.0079,1.7,17.6,88.8,42.74,139.0,2.0
2020/01/13,22:00:00,0.0065,1.1,14.5,89.0,40.87,116.0,2.0
2020/01/13,23:00:00,0.0058,0.8,12.9,87.7,39.24,143.0,2.0
2020/01/14,00:00:00,0.0044,1.1,11.6,88.9,37.28,164.0,1.0
2020/01/14,01:00:00,0.0041,0.9,11.2,89.1,35.7,123.0,2.0
2020/01/14,02:00:00,0.0077,0.5,10.0,88.2,35.15,132.0,2.0
2020/01/14,03:00:00,0.0044,3.4,11.5,90.1,33.94,154.0,1.0
2020/01/14,04:00:00,0.0024,3.7,12.3,90.4,33.31,141.0,1.0
2020/01/14,05:00:00,0.0013,7.2,12.9,92.0,32.21,0.0,1.0
