date,time,ozone_anaheim,no_anaheim,no2_anaheim,RH_anaheim,TEMP_anaheim,WINDIR_anaheim,WINDSPEED_anaheim
2020/01/07,15:00:00,0.0252,5.2,22.4,23.3,72.31,225.0,5.0
2020/01/07,16:00:00,0.0135,4.4,32.300000000000004,31.2,67.77,234.0,4.0
2020/01/07,17:00:00,0.0091,2.9,34.8,46.2,64.08,210.0,2.0
2020/01/07,18:00:00,0.0014,9.1,40.9,56.1,61.45,167.0,2.0
2020/01/07,19:00:00,0.0003,11.700000000000001,41.9,62.2,59.51,181.0,2.0
2020/01/07,20:00:00,0.0007,9.0,40.5,65.3,57.72,184.0,1.0
2020/01/07,21:00:00,0.0022,8.200000000000001,37.900000000000006,67.0,56.8,111.0,2.0
2020/01/07,22:00:00,0.0001,18.3,37.6,56.2,55.32,87.0,2.0
2020/01/07,23:00:00,0.0002,12.8,35.6,54.7,54.32,86.0,2.0
2020/01/08,00:00:00,0.0052,2.4,27.7,54.8,53.65,91.0,2.0
2020/01/08,01:00:00,0.0007,8.8,31.2,59.6,52.06,0.0,1.0
2020/01/08,02:00:00,0.0019,8.0,31.099999999999998,64.4,53.31,107.0,2.0
2020/01/08,03:00:00,0.0002,9.5,32.599999999999994,65.9,52.77,86.0,2.0
2020/01/08,04:00:00,0.0,17.4,32.7,65.5,51.26,74.0,2.0
2020/01/08,05:00:00,0.0003,43.3,31.6,66.5,49.34,0.0,1.0
2020/01/08,06:00:00,0.0001,70.2,34.0,67.8,48.93,57.0,2.0
2020/01/08,07:00:00,0.0006,80.60000000000001,34.6,65.3,49.29,66.0,2.0
2020/01/08,08:00:00,0.0022,65.60000000000001,35.1,62.9,51.99,54.0,2.0
2020/01/08,09:00:00,0.0092,20.2,29.5,64.6,55.88,117.0,2.0
2020/01/08,10:00:00,0.0224,6.6,15.7,67.7,57.89,112.0,2.0
2020/01/08,11:00:00,0.0311,2.9,8.1,65.0,60.02,182.0,2.0
2020/01/08,12:00:00,0.0348,2.0,6.2,61.0,61.34,191.0,2.0
2020/01/08,13:00:00,0.0341,2.3,7.8,63.8,61.18,252.0,4.0
2020/01/08,14:00:00,0.0382,1.4,5.6,63.3,60.94,227.0,5.0
2020/01/08,15:00:00,0.0372,1.2,7.0,66.8,60.16,242.0,5.0
2020/01/08,16:00:00,0.0327,1.1,10.8,69.6,58.96,240.0,4.0
2020/01/08,17:00:00,0.0261,1.2,16.8,72.0,57.43,240.0,3.0
2020/01/08,18:00:00,0.017,1.5,23.900000000000002,75.1,56.21,199.0,1.0
2020/01/08,19:00:00,0.0066,5.2,32.2,78.3,55.07,160.0,2.0
2020/01/08,20:00:00,0.0095,2.9,29.9,79.1,54.67,168.0,2.0
2020/01/08,21:00:00,0.003,7.9,35.1,80.7,53.76,0.0,1.0
2020/01/08,22:00:00,0.0001,20.5,35.9,82.8,52.96,0.0,1.0
2020/01/08,23:00:00,0.0018,12.7,31.8,83.4,52.53,101.0,2.0
2020/01/09,00:00:00,0.0053,3.0,26.1,82.6,52.04,88.0,2.0
2020/01/09,01:00:00,0.0092,1.8,20.2,82.3,51.33,98.0,2.0
2020/01/09,02:00:00,0.0064,1.9,22.4,82.1,50.65,89.0,1.0
2020/01/09,03:00:00,0.0099,1.8,20.2,78.5,51.79,68.0,1.0
2020/01/09,04:00:00,0.0104,2.1,19.7,77.6,51.89,104.0,2.0
2020/01/09,05:00:00,0.0043,8.5,26.4,78.5,51.32,63.0,2.0
2020/01/09,06:00:00,0.0,37.8,32.300000000000004,80.9,50.89,60.0,2.0
2020/01/09,07:00:00,0.0006,45.699999999999996,31.0,81.3,51.57,72.0,2.0
2020/01/09,08:00:00,0.0078,26.0,25.8,74.4,55.08,83.0,3.0
2020/01/09,09:00:00,0.0249,5.2,13.799999999999999,69.0,58.31,159.0,2.0
2020/01/09,10:00:00,0.0299,3.5,9.5,66.9,59.25,245.0,3.0
2020/01/09,11:00:00,0.0298,4.2,11.1,63.4,59.41,281.0,3.0
2020/01/09,12:00:00,0.0283,5.4,14.9,58.3,60.48,260.0,5.0
2020/01/09,13:00:00,0.035,3.5,9.5,52.0,60.97,253.0,6.0
2020/01/09,14:00:00,0.0364,2.5,6.6,53.7,59.68,259.0,6.0
2020/01/09,15:00:00,0.0354,2.0,7.4,57.7,59.54,259.0,4.0
2020/01/09,16:00:00,0.0328,1.0,8.8,65.5,58.32,233.0,4.0
2020/01/09,17:00:00,0.0256,0.9,13.4,78.9,56.08,185.0,2.0
2020/01/09,18:00:00,0.0219,1.1,16.1,82.2,55.21,172.0,2.0
2020/01/09,19:00:00,0.0102,2.0,26.700000000000003,83.1,54.72,108.0,2.0
2020/01/09,20:00:00,0.0096,2.0,24.2,83.0,53.11,0.0,1.0
2020/01/09,21:00:00,0.0026,6.8999999999999995,28.8,81.2,51.89,0.0,0.0
2020/01/09,22:00:00,0.0002,22.5,31.0,80.3,51.23,68.0,1.0
2020/01/09,23:00:00,0.0004,16.400000000000002,28.5,81.2,49.91,63.0,2.0
2020/01/10,00:00:00,0.0002,12.4,28.7,82.8,49.54,70.0,2.0
2020/01/10,01:00:00,0.0,15.8,28.9,84.4,48.53,0.0,0.0
2020/01/10,02:00:00,-0.0002,30.3,26.3,86.4,47.19,28.0,1.0
2020/01/10,03:00:00,0.0007,10.7,26.3,87.0,47.18,75.0,2.0
2020/01/10,04:00:00,0.0005,9.700000000000001,27.7,86.0,46.91,0.0,1.0
2020/01/10,05:00:00,0.0,24.1,27.099999999999998,86.4,46.34,31.0,2.0
2020/01/10,06:00:00,0.0,51.9,28.8,86.2,46.9,52.0,2.0
2020/01/10,07:00:00,0.0007,48.599999999999994,28.9,83.0,48.24,57.0,3.0
2020/01/10,08:00:00,0.0049,39.4,27.400000000000002,74.7,51.54,64.0,2.0
2020/01/10,09:00:00,0.0188,11.5,16.1,71.4,56.32,0.0,1.0
2020/01/10,10:00:00,0.025,6.0,12.4,69.8,58.59,222.0,3.0
2020/01/10,11:00:00,0.029,4.8,10.8,60.5,60.91,0.0,1.0
2020/01/10,12:00:00,0.0319,3.7,9.4,55.3,62.58,255.0,1.0
2020/01/10,13:00:00,0.0339,3.1,8.8,51.5,64.17,201.0,1.0
2020/01/10,14:00:00,0.0353,2.2,6.8999999999999995,57.8,63.37,241.0,5.0
2020/01/10,15:00:00,0.0349,1.6,6.8,62.2,61.91,244.0,5.0
2020/01/10,16:00:00,0.0334,1.1,8.200000000000001,68.4,59.98,238.0,4.0
2020/01/10,17:00:00,0.0251,1.0,14.7,73.9,58.01,223.0,2.0
2020/01/10,18:00:00,0.016,2.0,22.5,78.7,56.78,271.0,2.0
2020/01/10,19:00:00,0.0134,1.9,23.099999999999998,83.4,55.69,0.0,1.0
2020/01/10,20:00:00,0.0019,8.200000000000001,31.099999999999998,86.3,54.08,0.0,0.0
2020/01/10,21:00:00,0.0002,19.099999999999998,34.2,86.5,53.77,59.0,1.0
2020/01/10,22:00:00,0.0004,38.0,29.9,85.2,52.25,56.0,2.0
2020/01/10,23:00:00,0.0002,31.7,27.3,86.2,50.68,54.0,2.0
2020/01/11,00:00:00,0.0,21.1,26.0,87.2,49.87,66.0,2.0
2020/01/11,01:00:00,0.0,25.3,25.3,88.2,48.73,78.0,2.0
2020/01/11,02:00:00,-0.0001,30.5,23.2,88.4,47.59,75.0,1.0
2020/01/11,03:00:00,0.0,27.7,23.0,87.9,46.56,54.0,2.0
2020/01/11,04:00:00,-0.0001,25.5,23.599999999999998,85.3,46.3,58.0,2.0
2020/01/11,05:00:00,-0.0001,24.6,23.8,83.6,46.11,63.0,2.0
2020/01/11,06:00:00,-0.0001,38.6,24.400000000000002,83.4,45.49,53.0,2.0
2020/01/11,07:00:00,0.0004,49.5,24.400000000000002,80.8,46.13,66.0,2.0
